2020-03-18,1,0.0,1.0,0.0
2020-03-25,3,0.47712125471966244,2.0,0.3010299956639812
2020-03-26,6,0.7781512503836436,5.0,0.6989700043360189
2020-03-27,9,0.9542425094393249,8.0,0.9030899869919435
2020-03-28,12,1.0791812460476249,11.0,1.0413926851582251
2020-03-29,13,1.1139433523068367,12.0,1.0791812460476249
2020-03-30,20,1.3010299956639813,19.0,1.2787536009528289
2020-03-31,21,1.3222192947339193,20.0,1.3010299956639813
2020-04-01,35,1.5440680443502757,32.0,1.505149978319906
2020-04-02,39,1.591064607026499,33.0,1.5185139398778875
2020-04-03,46,1.662757831681574,37.0,1.568201724066995
2020-04-04,53,1.724275869600789,41.0,1.6127838567197355
2020-04-05,59,1.7708520116421442,46.0,1.662757831681574
